Name;Symbol;Date;High;Low;Open;Close;Volume;Marketcap
Polkadot;DOT;21/08/2020 23:59;309.009.266.777;273.091.868.399;289.692.328.556;28.750.282.692;49.313.136.825.242;0.0
Polkadot;DOT;22/08/2020 23:59;451.061.338.901;281.676.185.336;287.857.004.326;448.469.014.343;48.580.109.584.575;0.0
Polkadot;DOT;23/08/2020 23:59;448.705.836.489;371.627.105.392;448.705.836.489;396.706.569.209;320.749.483.243.806;0.0
Polkadot;DOT;24/08/2020 23:59;478.315.823.996;381.266.951.913;398.741.349.226;460.261.415.178;407.690.170.881.454;0.0
Polkadot;DOT;25/08/2020 23:59;576.077.535.015;450.122.274.573;458.495.324.614;552.339.300.736;898.847.538.456.415;0.0
Polkadot;DOT;26/08/2020 23:59;655.468.826.139;513.620.529.549;554.140.585.585;608.171.646.879;105.435.175.940.317;0.0
Polkadot;DOT;27/08/2020 23:59;678.917.991.364;531.392.627.262;607.577.223.774;562.833.735.301;128.924.895.326.494;0.0
Polkadot;DOT;28/08/2020 23:59;633.374.606.123;554.096.300.109;563.948.557.226;615.995.475.836;727.162.235.007.699;0.0
Polkadot;DOT;29/08/2020 23:59;656.290.582.908;604.230.882.692;617.592.465.036;615.914.322.499;527.290.028.288.721;0.0
Polkadot;DOT;30/08/2020 23:59;621.950.641.987;574.997.752.639;615.343.993.195;586.988.080.945;485.335.136.160.243;0.0
Polkadot;DOT;31/08/2020 23:59;645.937.678.622;577.296.604.812;590.591.758.819;630.002.021.459;512.604.781.457.396;0.0
Polkadot;DOT;01/09/2020 23:59;683.889.839.093;617.232.394.775;629.880.990.464;628.876.657.493;601.527.408.597.063;0.0
Polkadot;DOT;02/09/2020 23:59;643.265.240.556;565.744.178.513;628.268.621.292;613.946.524.066;584.155.027.672.257;523.480.094.737.602
Polkadot;DOT;03/09/2020 23:59;631.807.931.132;568.259.015.342;613.117.930.425;574.786.775.393;763.663.456.725.131;490.090.624.903.192
Polkadot;DOT;04/09/2020 23:59;598.139.481.181;462.672.016.007;572.661.017.838;514.603.789.173;845.787.793.236.023;438.775.739.822.662
Polkadot;DOT;05/09/2020 23:59;531.178.363.002;365.346.785.226;513.603.338.064;412.231.259.687;805.800.384.883.967;35.148.803.750.138
Polkadot;DOT;06/09/2020 23:59;49.016.495.889;375.974.530.438;413.703.192.585;479.946.793.988;92.416.048.188.266;409.225.532.415.976
Polkadot;DOT;07/09/2020 23:59;482.000.337.516;403.263.336.873;479.604.779.842;459.466.864.471;67.537.518.271.445;391.763.367.514.744
Polkadot;DOT;08/09/2020 23:59;461.644.016.353;411.959.532.766;458.895.847.934;427.432.445.417;51.944.028.807.207;364.449.293.627.343
Polkadot;DOT;09/09/2020 23:59;479.672.340.745;415.887.274.621;428.286.809.977;47.089.389.523;534.097.093.858.837;40.150.659.906.637
Polkadot;DOT;10/09/2020 23:59;487.014.051.233;447.129.482.253;47.098.494.372;458.158.432.405;63.357.767.391.456;390.647.735.916.521
Polkadot;DOT;11/09/2020 23:59;474.811.022.024;43.171.298.181;457.984.788.409;464.556.662.846;633.472.139.867.298;396.103.172.418.101
